fate,count,library,sample
unparseable barcode,315318,Fc-Lib01,TiteSeq_04.76_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_04.76_bin4
unparseable barcode,1,Fc-Lib01,TiteSeq_14.28_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_14.28_bin1
invalid barcode,0,Fc-Lib01,TiteSeq_14.28_bin1
low quality barcode,0,Fc-Lib01,TiteSeq_14.28_bin1
valid barcode,0,Fc-Lib01,TiteSeq_14.28_bin1
valid barcode,3678922,Fc-Lib01,TiteSeq_14.28_bin2
invalid barcode,2909962,Fc-Lib01,TiteSeq_14.28_bin2
low quality barcode,778557,Fc-Lib01,TiteSeq_14.28_bin2
unparseable barcode,616966,Fc-Lib01,TiteSeq_14.28_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_14.28_bin2
valid barcode,2774415,Fc-Lib01,TiteSeq_14.28_bin3
invalid barcode,1837277,Fc-Lib01,TiteSeq_14.28_bin3
low quality barcode,433146,Fc-Lib01,TiteSeq_14.28_bin3
unparseable barcode,357310,Fc-Lib01,TiteSeq_14.28_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_14.28_bin3
valid barcode,2663842,Fc-Lib01,TiteSeq_14.28_bin4
invalid barcode,1638733,Fc-Lib01,TiteSeq_14.28_bin4
low quality barcode,472249,Fc-Lib01,TiteSeq_14.28_bin4
unparseable barcode,256711,Fc-Lib01,TiteSeq_14.28_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_14.28_bin4
unparseable barcode,4106740,Fc-Lib01,TiteSeq_42.83_bin1
valid barcode,98851,Fc-Lib01,TiteSeq_42.83_bin1
invalid barcode,63955,Fc-Lib01,TiteSeq_42.83_bin1
low quality barcode,18150,Fc-Lib01,TiteSeq_42.83_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_42.83_bin1
valid barcode,2266547,Fc-Lib01,TiteSeq_42.83_bin2
invalid barcode,1812150,Fc-Lib01,TiteSeq_42.83_bin2
unparseable barcode,420489,Fc-Lib01,TiteSeq_42.83_bin2
low quality barcode,381248,Fc-Lib01,TiteSeq_42.83_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_42.83_bin2
valid barcode,2450987,Fc-Lib01,TiteSeq_42.83_bin3
invalid barcode,1631749,Fc-Lib01,TiteSeq_42.83_bin3
low quality barcode,400581,Fc-Lib01,TiteSeq_42.83_bin3
unparseable barcode,342612,Fc-Lib01,TiteSeq_42.83_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_42.83_bin3
valid barcode,2817279,Fc-Lib01,TiteSeq_42.83_bin4
invalid barcode,1728355,Fc-Lib01,TiteSeq_42.83_bin4
low quality barcode,462618,Fc-Lib01,TiteSeq_42.83_bin4
unparseable barcode,269057,Fc-Lib01,TiteSeq_42.83_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_42.83_bin4
