fate,count,library,sample
failed chastity filter,0,Fc-Lib01,TiteSeq_05.58_bin2
valid barcode,2695028,Fc-Lib01,TiteSeq_05.58_bin3
invalid barcode,1835545,Fc-Lib01,TiteSeq_05.58_bin3
unparseable barcode,698971,Fc-Lib01,TiteSeq_05.58_bin3
low quality barcode,478018,Fc-Lib01,TiteSeq_05.58_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_05.58_bin3
valid barcode,3317956,Fc-Lib01,TiteSeq_05.58_bin4
invalid barcode,2060360,Fc-Lib01,TiteSeq_05.58_bin4
low quality barcode,507764,Fc-Lib01,TiteSeq_05.58_bin4
unparseable barcode,437500,Fc-Lib01,TiteSeq_05.58_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_05.58_bin4
unparseable barcode,7069207,Fc-Lib01,TiteSeq_16.74_bin1
valid barcode,23339,Fc-Lib01,TiteSeq_16.74_bin1
invalid barcode,14284,Fc-Lib01,TiteSeq_16.74_bin1
low quality barcode,4807,Fc-Lib01,TiteSeq_16.74_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_16.74_bin1
valid barcode,2372848,Fc-Lib01,TiteSeq_16.74_bin2
invalid barcode,2029523,Fc-Lib01,TiteSeq_16.74_bin2
unparseable barcode,1367865,Fc-Lib01,TiteSeq_16.74_bin2
low quality barcode,457368,Fc-Lib01,TiteSeq_16.74_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_16.74_bin2
valid barcode,2989311,Fc-Lib01,TiteSeq_16.74_bin3
invalid barcode,1995841,Fc-Lib01,TiteSeq_16.74_bin3
unparseable barcode,890754,Fc-Lib01,TiteSeq_16.74_bin3
low quality barcode,437093,Fc-Lib01,TiteSeq_16.74_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_16.74_bin3
valid barcode,3308058,Fc-Lib01,TiteSeq_16.74_bin4
invalid barcode,2037429,Fc-Lib01,TiteSeq_16.74_bin4
low quality barcode,558254,Fc-Lib01,TiteSeq_16.74_bin4
unparseable barcode,417058,Fc-Lib01,TiteSeq_16.74_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_16.74_bin4
unparseable barcode,4132642,Fc-Lib01,TiteSeq_50.22_bin1
valid barcode,1449469,Fc-Lib01,TiteSeq_50.22_bin1
invalid barcode,929660,Fc-Lib01,TiteSeq_50.22_bin1
low quality barcode,246194,Fc-Lib01,TiteSeq_50.22_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_50.22_bin1
valid barcode,2186524,Fc-Lib01,TiteSeq_50.22_bin2
invalid barcode,1862084,Fc-Lib01,TiteSeq_50.22_bin2
unparseable barcode,1183785,Fc-Lib01,TiteSeq_50.22_bin2
low quality barcode,335752,Fc-Lib01,TiteSeq_50.22_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_50.22_bin2
valid barcode,2555928,Fc-Lib01,TiteSeq_50.22_bin3
invalid barcode,1790510,Fc-Lib01,TiteSeq_50.22_bin3
unparseable barcode,1312754,Fc-Lib01,TiteSeq_50.22_bin3
low quality barcode,461984,Fc-Lib01,TiteSeq_50.22_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_50.22_bin3
valid barcode,3260986,Fc-Lib01,TiteSeq_50.22_bin4
invalid barcode,2003527,Fc-Lib01,TiteSeq_50.22_bin4
low quality barcode,511315,Fc-Lib01,TiteSeq_50.22_bin4
unparseable barcode,431051,Fc-Lib01,TiteSeq_50.22_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_50.22_bin4
