fate,count,library,sample
failed chastity filter,0,Fc-Lib01,TiteSeq_15.84_bin4
unparseable barcode,1,Fc-Lib01,TiteSeq_47.53_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_47.53_bin1
invalid barcode,0,Fc-Lib01,TiteSeq_47.53_bin1
low quality barcode,0,Fc-Lib01,TiteSeq_47.53_bin1
valid barcode,0,Fc-Lib01,TiteSeq_47.53_bin1
valid barcode,2366106,Fc-Lib01,TiteSeq_47.53_bin2
invalid barcode,1892801,Fc-Lib01,TiteSeq_47.53_bin2
low quality barcode,662358,Fc-Lib01,TiteSeq_47.53_bin2
unparseable barcode,363157,Fc-Lib01,TiteSeq_47.53_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_47.53_bin2
valid barcode,2739145,Fc-Lib01,TiteSeq_47.53_bin3
invalid barcode,1894000,Fc-Lib01,TiteSeq_47.53_bin3
low quality barcode,714183,Fc-Lib01,TiteSeq_47.53_bin3
unparseable barcode,371113,Fc-Lib01,TiteSeq_47.53_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_47.53_bin3
valid barcode,2951747,Fc-Lib01,TiteSeq_47.53_bin4
invalid barcode,1789431,Fc-Lib01,TiteSeq_47.53_bin4
low quality barcode,787245,Fc-Lib01,TiteSeq_47.53_bin4
unparseable barcode,291410,Fc-Lib01,TiteSeq_47.53_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_47.53_bin4
