fate,count,library,sample
invalid barcode,2607554,Fc-Lib01,TiteSeq_01.57_bin4
low quality barcode,612442,Fc-Lib01,TiteSeq_01.57_bin4
unparseable barcode,386426,Fc-Lib01,TiteSeq_01.57_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_01.57_bin4
unparseable barcode,1290052,Fc-Lib01,TiteSeq_04.71_bin1
valid barcode,388812,Fc-Lib01,TiteSeq_04.71_bin1
invalid barcode,321754,Fc-Lib01,TiteSeq_04.71_bin1
low quality barcode,60093,Fc-Lib01,TiteSeq_04.71_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_04.71_bin1
valid barcode,4218696,Fc-Lib01,TiteSeq_04.71_bin2
invalid barcode,3045999,Fc-Lib01,TiteSeq_04.71_bin2
low quality barcode,664487,Fc-Lib01,TiteSeq_04.71_bin2
unparseable barcode,449336,Fc-Lib01,TiteSeq_04.71_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_04.71_bin2
valid barcode,3444602,Fc-Lib01,TiteSeq_04.71_bin3
invalid barcode,2217993,Fc-Lib01,TiteSeq_04.71_bin3
low quality barcode,474285,Fc-Lib01,TiteSeq_04.71_bin3
unparseable barcode,318508,Fc-Lib01,TiteSeq_04.71_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_04.71_bin3
valid barcode,4325480,Fc-Lib01,TiteSeq_04.71_bin4
invalid barcode,2668833,Fc-Lib01,TiteSeq_04.71_bin4
low quality barcode,597711,Fc-Lib01,TiteSeq_04.71_bin4
unparseable barcode,376650,Fc-Lib01,TiteSeq_04.71_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_04.71_bin4
unparseable barcode,1901093,Fc-Lib01,TiteSeq_14.13_bin1
valid barcode,423446,Fc-Lib01,TiteSeq_14.13_bin1
invalid barcode,298866,Fc-Lib01,TiteSeq_14.13_bin1
low quality barcode,60092,Fc-Lib01,TiteSeq_14.13_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_14.13_bin1
valid barcode,2939869,Fc-Lib01,TiteSeq_14.13_bin2
invalid barcode,2252707,Fc-Lib01,TiteSeq_14.13_bin2
low quality barcode,465548,Fc-Lib01,TiteSeq_14.13_bin2
unparseable barcode,302781,Fc-Lib01,TiteSeq_14.13_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_14.13_bin2
valid barcode,3397837,Fc-Lib01,TiteSeq_14.13_bin3
invalid barcode,2272349,Fc-Lib01,TiteSeq_14.13_bin3
low quality barcode,490436,Fc-Lib01,TiteSeq_14.13_bin3
unparseable barcode,339169,Fc-Lib01,TiteSeq_14.13_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_14.13_bin3
valid barcode,4053030,Fc-Lib01,TiteSeq_14.13_bin4
invalid barcode,2503996,Fc-Lib01,TiteSeq_14.13_bin4
low quality barcode,606209,Fc-Lib01,TiteSeq_14.13_bin4
unparseable barcode,353145,Fc-Lib01,TiteSeq_14.13_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_14.13_bin4
unparseable barcode,2667377,Fc-Lib01,TiteSeq_42.39_bin1
valid barcode,459425,Fc-Lib01,TiteSeq_42.39_bin1
invalid barcode,314336,Fc-Lib01,TiteSeq_42.39_bin1
low quality barcode,69841,Fc-Lib01,TiteSeq_42.39_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_42.39_bin1
