fate,count,library,sample
unparseable barcode,330522,Fc-Lib01,TiteSeq_0.01926_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01926_bin2
valid barcode,2533574,Fc-Lib01,TiteSeq_0.01926_bin3
unparseable barcode,1717617,Fc-Lib01,TiteSeq_0.01926_bin3
invalid barcode,1614046,Fc-Lib01,TiteSeq_0.01926_bin3
low quality barcode,326852,Fc-Lib01,TiteSeq_0.01926_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01926_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.01926_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.01926_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.01926_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.01926_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.01926_bin4
valid barcode,2377867,Fc-Lib01,TiteSeq_0.05779_bin1
invalid barcode,1484449,Fc-Lib01,TiteSeq_0.05779_bin1
low quality barcode,329734,Fc-Lib01,TiteSeq_0.05779_bin1
unparseable barcode,273914,Fc-Lib01,TiteSeq_0.05779_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05779_bin1
valid barcode,2956142,Fc-Lib01,TiteSeq_0.05779_bin2
invalid barcode,1827164,Fc-Lib01,TiteSeq_0.05779_bin2
low quality barcode,422930,Fc-Lib01,TiteSeq_0.05779_bin2
unparseable barcode,344528,Fc-Lib01,TiteSeq_0.05779_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05779_bin2
valid barcode,2877816,Fc-Lib01,TiteSeq_0.05779_bin3
unparseable barcode,2252858,Fc-Lib01,TiteSeq_0.05779_bin3
invalid barcode,1761960,Fc-Lib01,TiteSeq_0.05779_bin3
low quality barcode,475933,Fc-Lib01,TiteSeq_0.05779_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05779_bin3
valid barcode,2989408,Fc-Lib01,TiteSeq_0.05779_bin4
invalid barcode,1872981,Fc-Lib01,TiteSeq_0.05779_bin4
unparseable barcode,1871573,Fc-Lib01,TiteSeq_0.05779_bin4
low quality barcode,428769,Fc-Lib01,TiteSeq_0.05779_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05779_bin4
valid barcode,2602163,Fc-Lib01,TiteSeq_0.1734_bin1
invalid barcode,1623970,Fc-Lib01,TiteSeq_0.1734_bin1
low quality barcode,362486,Fc-Lib01,TiteSeq_0.1734_bin1
unparseable barcode,330184,Fc-Lib01,TiteSeq_0.1734_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1734_bin1
valid barcode,2757239,Fc-Lib01,TiteSeq_0.1734_bin2
invalid barcode,1688273,Fc-Lib01,TiteSeq_0.1734_bin2
low quality barcode,537403,Fc-Lib01,TiteSeq_0.1734_bin2
unparseable barcode,309108,Fc-Lib01,TiteSeq_0.1734_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1734_bin2
unparseable barcode,2002877,Fc-Lib01,TiteSeq_0.1734_bin3
valid barcode,1337249,Fc-Lib01,TiteSeq_0.1734_bin3
invalid barcode,921150,Fc-Lib01,TiteSeq_0.1734_bin3
low quality barcode,215482,Fc-Lib01,TiteSeq_0.1734_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1734_bin3
unparseable barcode,4181808,Fc-Lib01,TiteSeq_0.1734_bin4
valid barcode,31782,Fc-Lib01,TiteSeq_0.1734_bin4
invalid barcode,17944,Fc-Lib01,TiteSeq_0.1734_bin4
low quality barcode,3925,Fc-Lib01,TiteSeq_0.1734_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1734_bin4
valid barcode,2219129,Fc-Lib01,TiteSeq_0.5201_bin1
invalid barcode,1439827,Fc-Lib01,TiteSeq_0.5201_bin1
low quality barcode,320910,Fc-Lib01,TiteSeq_0.5201_bin1
unparseable barcode,261733,Fc-Lib01,TiteSeq_0.5201_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5201_bin1
valid barcode,2528505,Fc-Lib01,TiteSeq_0.5201_bin2
invalid barcode,1555419,Fc-Lib01,TiteSeq_0.5201_bin2
low quality barcode,356898,Fc-Lib01,TiteSeq_0.5201_bin2
unparseable barcode,289885,Fc-Lib01,TiteSeq_0.5201_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5201_bin2
valid barcode,2605240,Fc-Lib01,TiteSeq_0.5201_bin3
invalid barcode,1609895,Fc-Lib01,TiteSeq_0.5201_bin3
unparseable barcode,402148,Fc-Lib01,TiteSeq_0.5201_bin3
low quality barcode,365451,Fc-Lib01,TiteSeq_0.5201_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5201_bin3
valid barcode,2108396,Fc-Lib01,TiteSeq_0.5201_bin4
invalid barcode,1357093,Fc-Lib01,TiteSeq_0.5201_bin4
unparseable barcode,1253330,Fc-Lib01,TiteSeq_0.5201_bin4
low quality barcode,312582,Fc-Lib01,TiteSeq_0.5201_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5201_bin4
